elementName	stage1-3	stage13-16	stage4-6	stage9-10	stage11-12	stage7-8	allTerms
VT54907.2		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00005828,embryonic head sensory system"	FBbt:00004204,ventral ectoderm anlage	FBbt:00005554,ventral nerve cord primordium	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	"FBbt:00005428,dorsal ectoderm anlage; FBbt:00004204,ventral ectoderm anlage; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00005828,embryonic head sensory system; FBbt:00004204,ventral ectoderm anlage; FBbt:00005428,dorsal ectoderm anlage; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"
VT54910.1		FBbt:0000611,NA	"FBbt:00015252,antennal anlage in statu nascendi; FBbt:00004204,ventral ectoderm anlage; FBbt:00005415,central brain anlage in statu nascendi; FBbt:00005425,visual anlage in statu nascendi; FBbt:00015249,dorsal head epidermis anlage in statu nascendi"	FBbt:00005554,ventral nerve cord primordium	FBbt:0000611,NA	FBbt:00004204,ventral ectoderm anlage	"FBbt:00015252,antennal anlage in statu nascendi; FBbt:00004204,ventral ectoderm anlage; FBbt:00015249,dorsal head epidermis anlage in statu nascendi; FBbt:00005415,central brain anlage in statu nascendi; FBbt:00005554,ventral nerve cord primordium; FBbt:00005425,visual anlage in statu nascendi"
VT54912.1		FBbt:00005628,embryonic midgut chamber	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005628,embryonic midgut chamber
VT54912.2		FBbt:00005628,embryonic midgut chamber	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005628,embryonic midgut chamber
VT54914.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00000155,embryonic head"	FBbt:0000611,NA	FBbt:00005554,ventral nerve cord primordium	FBbt:00005554,ventral nerve cord primordium	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005554,ventral nerve cord primordium; FBbt:00005662,embryonic central brain; FBbt:00000155,embryonic head"
VT54915.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium; FBbt:00000095,amnioserosa"	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium; FBbt:00005662,embryonic central brain; FBbt:00000095,amnioserosa"
VT55382.1		"FBbt:0000632,embryonic lateral epidermis; FBbt:00005662,embryonic central brain; FBbt:00001102,ventral nerve cord"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005526,dorsal epidermis primordium; FBbt:00005533,ventral epidermis primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:0000632,embryonic lateral epidermis; FBbt:00005526,dorsal epidermis primordium; FBbt:00005533,ventral epidermis primordium; FBbt:00005542,central brain primordium"
VT55390.1		"FBbt:00001882,embryonic/larval midgut; FBbt:00005628,embryonic midgut chamber; FBbt:00005785,anal pad"	FBbt:0000611,NA	FBbt:00004202,hindgut anlage	FBbt:00016008,anal pad primordium	FBbt:0000611,NA	"FBbt:00001882,embryonic/larval midgut; FBbt:00004202,hindgut anlage; FBbt:00016008,anal pad primordium; FBbt:00005628,embryonic midgut chamber; FBbt:00005785,anal pad"
VT55395.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00005662,embryonic central brain; FBbt:00005554,ventral nerve cord primordium; FBbt:00005542,central brain primordium; FBbt:00001102,ventral nerve cord"
VT55397.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00005542,central brain primordium"
VT55398.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain; FBbt:00005382,salivary gland"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005554,ventral nerve cord primordium	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005554,ventral nerve cord primordium; FBbt:00005662,embryonic central brain; FBbt:00005382,salivary gland"
VT55399.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"
VT55406.1		"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00001102,ventral nerve cord; FBbt:00005662,embryonic central brain"
VT55410.1		"FBbt:00005828,embryonic head sensory system; FBbt:00000155,embryonic head; FBbt:00000095,amnioserosa"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00005828,embryonic head sensory system; FBbt:00000155,embryonic head; FBbt:00000095,amnioserosa"
VT55422.1		"FBbt:00005786,Malpighian tubule; FBbt:00005382,salivary gland"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00000442,Malpighian tubule primordium	FBbt:0000611,NA	"FBbt:00005382,salivary gland; FBbt:00000442,Malpighian tubule primordium; FBbt:00005786,Malpighian tubule"
VT55425.1			FBbt:0000611,NA	FBbt:0000611,NA		FBbt:0000611,NA	
VT55602.1		FBbt:01005747,embryonic ventral trunk epidermis	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:01005747,embryonic ventral trunk epidermis
VT55602.2		FBbt:01005747,embryonic ventral trunk epidermis	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:01005747,embryonic ventral trunk epidermis
VT55603.1		"FBbt:00005073,somatic muscle; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005519,visceral muscle primordium	FBbt:0000611,NA	"FBbt:00005073,somatic muscle; FBbt:00005519,visceral muscle primordium; FBbt:00005070,visceral muscle"
VT55603.2		"FBbt:00005073,somatic muscle; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005519,visceral muscle primordium	FBbt:0000611,NA	"FBbt:00005073,somatic muscle; FBbt:00005519,visceral muscle primordium; FBbt:00005070,visceral muscle"
VT55604.1		FBbt:00005069,muscle system	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005069,muscle system
VT55604.2		FBbt:00005069,muscle system	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005069,muscle system
